timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1616242233203,237,HTTP Request,200,OK,Thread Group 1-1,text,true,,15056,140,2,2,http://www.google.com/?Email=abcd@yahoo.com,185,0,64
1616242233297,162,HTTP Request,200,OK,Thread Group 1-2,text,true,,14989,140,2,2,http://www.google.com/?Email=abcd@yahoo.com,130,0,34
1616242233450,100,HTTP Request,200,OK,Thread Group 1-1,text,true,,15896,140,3,3,http://www.google.com/?Email=abcd@yahoo.com,98,0,0
1616242233460,97,HTTP Request,200,OK,Thread Group 1-2,text,true,,15005,140,3,3,http://www.google.com/?Email=abcd@yahoo.com,91,0,0
1616242233550,99,HTTP Request,200,OK,Thread Group 1-1,text,true,,15041,140,3,3,http://www.google.com/?Email=abcd@yahoo.com,95,0,0
1616242233558,100,HTTP Request,200,OK,Thread Group 1-2,text,true,,14987,140,3,3,http://www.google.com/?Email=abcd@yahoo.com,93,0,0
1616242233513,187,HTTP Request,200,OK,Thread Group 1-3,text,true,,15040,140,3,3,http://www.google.com/?Email=abcd@yahoo.com,130,0,35
1616242233650,109,HTTP Request,200,OK,Thread Group 1-1,text,true,,15058,140,4,4,http://www.google.com/?Email=abcd@yahoo.com,104,0,0
1616242233701,125,HTTP Request,200,OK,Thread Group 1-3,text,true,,14992,140,4,4,http://www.google.com/?Email=abcd@yahoo.com,112,0,0
1616242233659,168,HTTP Request,200,OK,Thread Group 1-2,text,true,,15039,140,4,4,http://www.google.com/?Email=abcd@yahoo.com,166,0,0
1616242233759,126,HTTP Request,200,OK,Thread Group 1-1,text,true,,15046,140,4,4,http://www.google.com/?Email=abcd@yahoo.com,101,0,0
1616242233826,109,HTTP Request,200,OK,Thread Group 1-3,text,true,,15012,140,5,5,http://www.google.com/?Email=abcd@yahoo.com,102,0,0
1616242233828,113,HTTP Request,200,OK,Thread Group 1-2,text,true,,15007,140,5,5,http://www.google.com/?Email=abcd@yahoo.com,109,0,0
1616242233741,202,HTTP Request,200,OK,Thread Group 1-4,text,true,,15062,140,5,5,http://www.google.com/?Email=abcd@yahoo.com,152,0,33
1616242233886,131,HTTP Request,200,OK,Thread Group 1-1,text,true,,15056,140,5,5,http://www.google.com/?Email=abcd@yahoo.com,123,0,0
1616242233936,106,HTTP Request,200,OK,Thread Group 1-3,text,true,,15042,140,5,5,http://www.google.com/?Email=abcd@yahoo.com,97,0,0
1616242233943,100,HTTP Request,200,OK,Thread Group 1-4,text,true,,15018,140,5,5,http://www.google.com/?Email=abcd@yahoo.com,94,0,0
1616242233941,110,HTTP Request,200,OK,Thread Group 1-2,text,true,,15009,140,5,5,http://www.google.com/?Email=abcd@yahoo.com,102,0,0
1616242233916,164,HTTP Request,200,OK,Thread Group 1-5,text,true,,14979,140,5,5,http://www.google.com/?Email=abcd@yahoo.com,134,0,35
1616242234018,100,HTTP Request,200,OK,Thread Group 1-1,text,true,,15094,140,5,5,http://www.google.com/?Email=abcd@yahoo.com,95,0,0
1616242234044,99,HTTP Request,200,OK,Thread Group 1-3,text,true,,15001,140,5,5,http://www.google.com/?Email=abcd@yahoo.com,89,0,0
1616242234045,100,HTTP Request,200,OK,Thread Group 1-4,text,true,,15046,140,5,5,http://www.google.com/?Email=abcd@yahoo.com,95,0,0
1616242234052,100,HTTP Request,200,OK,Thread Group 1-2,text,true,,14993,140,5,5,http://www.google.com/?Email=abcd@yahoo.com,94,0,0
1616242234081,101,HTTP Request,200,OK,Thread Group 1-5,text,true,,14999,140,5,5,http://www.google.com/?Email=abcd@yahoo.com,96,0,0
1616242234119,103,HTTP Request,200,OK,Thread Group 1-1,text,true,,15015,140,5,5,http://www.google.com/?Email=abcd@yahoo.com,97,0,0
1616242234146,100,HTTP Request,200,OK,Thread Group 1-4,text,true,,14990,140,5,5,http://www.google.com/?Email=abcd@yahoo.com,95,0,0
1616242234144,105,HTTP Request,200,OK,Thread Group 1-3,text,true,,15027,140,5,5,http://www.google.com/?Email=abcd@yahoo.com,99,0,0
1616242234153,104,HTTP Request,200,OK,Thread Group 1-2,text,true,,15044,140,5,5,http://www.google.com/?Email=abcd@yahoo.com,98,0,0
1616242234183,96,HTTP Request,200,OK,Thread Group 1-5,text,true,,15030,140,5,5,http://www.google.com/?Email=abcd@yahoo.com,92,0,0
1616242234222,102,HTTP Request,200,OK,Thread Group 1-1,text,true,,15045,140,5,5,http://www.google.com/?Email=abcd@yahoo.com,96,0,0
1616242234247,104,HTTP Request,200,OK,Thread Group 1-4,text,true,,15047,140,5,5,http://www.google.com/?Email=abcd@yahoo.com,99,0,0
1616242234250,105,HTTP Request,200,OK,Thread Group 1-3,text,true,,15054,140,5,5,http://www.google.com/?Email=abcd@yahoo.com,97,0,0
1616242234257,107,HTTP Request,200,OK,Thread Group 1-2,text,true,,15025,140,5,5,http://www.google.com/?Email=abcd@yahoo.com,101,0,0
1616242234279,98,HTTP Request,200,OK,Thread Group 1-5,text,true,,15051,140,5,5,http://www.google.com/?Email=abcd@yahoo.com,93,0,0
1616242234324,99,HTTP Request,200,OK,Thread Group 1-1,text,true,,15041,140,5,5,http://www.google.com/?Email=abcd@yahoo.com,93,0,0
1616242234351,107,HTTP Request,200,OK,Thread Group 1-4,text,true,,15052,140,5,5,http://www.google.com/?Email=abcd@yahoo.com,101,0,0
1616242234365,98,HTTP Request,200,OK,Thread Group 1-2,text,true,,14991,140,5,5,http://www.google.com/?Email=abcd@yahoo.com,93,0,0
1616242234355,110,HTTP Request,200,OK,Thread Group 1-3,text,true,,15004,140,5,5,http://www.google.com/?Email=abcd@yahoo.com,106,0,0
1616242234377,137,HTTP Request,200,OK,Thread Group 1-5,text,true,,15091,140,5,5,http://www.google.com/?Email=abcd@yahoo.com,132,0,0
1616242234423,99,HTTP Request,200,OK,Thread Group 1-1,text,true,,15023,140,5,5,http://www.google.com/?Email=abcd@yahoo.com,92,0,0
1616242234459,101,HTTP Request,200,OK,Thread Group 1-4,text,true,,15062,140,5,5,http://www.google.com/?Email=abcd@yahoo.com,96,0,0
1616242234463,101,HTTP Request,200,OK,Thread Group 1-2,text,true,,15041,140,5,5,http://www.google.com/?Email=abcd@yahoo.com,96,0,0
1616242234466,104,HTTP Request,200,OK,Thread Group 1-3,text,true,,15038,140,5,5,http://www.google.com/?Email=abcd@yahoo.com,94,0,0
1616242234516,103,HTTP Request,200,OK,Thread Group 1-5,text,true,,14996,140,5,5,http://www.google.com/?Email=abcd@yahoo.com,97,0,0
1616242234524,98,HTTP Request,200,OK,Thread Group 1-1,text,true,,15003,140,5,5,http://www.google.com/?Email=abcd@yahoo.com,92,0,0
1616242234561,99,HTTP Request,200,OK,Thread Group 1-4,text,true,,15022,140,5,5,http://www.google.com/?Email=abcd@yahoo.com,94,0,0
1616242234565,100,HTTP Request,200,OK,Thread Group 1-2,text,true,,15088,140,5,5,http://www.google.com/?Email=abcd@yahoo.com,95,0,0
1616242234571,117,HTTP Request,200,OK,Thread Group 1-3,text,true,,15037,140,5,5,http://www.google.com/?Email=abcd@yahoo.com,110,0,0
1616242234623,99,HTTP Request,200,OK,Thread Group 1-1,text,true,,15056,140,5,5,http://www.google.com/?Email=abcd@yahoo.com,94,0,0
1616242234620,104,HTTP Request,200,OK,Thread Group 1-5,text,true,,15048,140,5,5,http://www.google.com/?Email=abcd@yahoo.com,98,0,0
1616242234661,102,HTTP Request,200,OK,Thread Group 1-4,text,true,,15030,140,5,5,http://www.google.com/?Email=abcd@yahoo.com,96,0,0
1616242234666,102,HTTP Request,200,OK,Thread Group 1-2,text,true,,15049,140,5,5,http://www.google.com/?Email=abcd@yahoo.com,97,0,0
1616242234689,98,HTTP Request,200,OK,Thread Group 1-3,text,true,,15016,140,5,5,http://www.google.com/?Email=abcd@yahoo.com,93,0,0
1616242234723,99,HTTP Request,200,OK,Thread Group 1-1,text,true,,14983,140,5,5,http://www.google.com/?Email=abcd@yahoo.com,93,0,0
1616242234764,103,HTTP Request,200,OK,Thread Group 1-4,text,true,,15096,140,5,5,http://www.google.com/?Email=abcd@yahoo.com,97,0,0
1616242234769,103,HTTP Request,200,OK,Thread Group 1-2,text,true,,15009,140,5,5,http://www.google.com/?Email=abcd@yahoo.com,98,0,0
1616242234788,107,HTTP Request,200,OK,Thread Group 1-3,text,true,,15003,140,5,5,http://www.google.com/?Email=abcd@yahoo.com,101,0,0
1616242234724,190,HTTP Request,200,OK,Thread Group 1-5,text,true,,15020,140,5,5,http://www.google.com/?Email=abcd@yahoo.com,189,0,0
1616242234822,95,HTTP Request,200,OK,Thread Group 1-1,text,true,,15043,140,5,5,http://www.google.com/?Email=abcd@yahoo.com,93,0,0
